Russian,English
"The Agency’s Statute was approved on 23 October 1956 by the Conference on the Statute of the IAEA held at United Nations Headquarters, New York; it entered into force on 29 July 1957. |Устав Агентства был утвержден 23 октября 1956 года на Конференции по выработке Устава МАГАТЭ, которая состоялась в Центральных учреждениях Организации Объединенных Наций в Нью-Йорке. Устав вступил в силу 29 июля 1957 года. |",The Headquarters of the Agency are situated in Vienna. |Центральные учреждения Агентства находятся в Вене. |
"Its principal objective is “to accelerate and enlarge the contribution of atomic energy to peace, health and prosperity throughout the world’’.|Главной целью Агентства является достижение «более скорого и широкого использования атомной энергии для поддержания мира, здоровья и благосостояния во всем мире».|","IAEA NUCLEAR ENERGY SERIES No. NW-T-1.3|СЕРИЯ ИЗДАНИЙ МАГАТЭ ПО ЯДЕРНОЙ ЭНЕРГИИ, № NW-T-1.3|"
MANAGEMENT OF DISUSED SEALED,RADIOACTIVE SOURCES|ОБРАЩЕНИЕ С ИЗЪЯТЫМИ
ИЗ УПОТРЕБЛЕНИЯ ЗАКРЫТЫМИ РАДИОАКТИВНЫМИ,ИСТОЧНИКАМИ|
INTERNATIONAL ATOMIC ENERGY AGENCY|МЕЖДУНАРОДНОЕ АГЕНТСТВО ПО АТОМНОЙ ЭНЕРГИИ|,"VIENNA, 2022|ВЕНА, 2022|"
COPYRIGHT NOTICE|УВЕДОМЛЕНИЕ ОБ АВТОРСКОМ ПРАВЕ|,"All IAEA scientific and technical publications are protected by the terms of the Universal Copyright Convention as adopted in 1952 (Berne) and as revised in 1972 (Paris). |Все научные и технические публикации МАГАТЭ защищены положениями Всемирной конвенции об авторском праве, принятой в 1952 году (Берн) и пересмотренной в 1972 году (Париж). |"
The copyright has since been extended by the World Intellectual Property Organization (Geneva) to include electronic and virtual intellectual property. |Впоследствии авторские права были распространены Всемирной организацией интеллектуальной собственности (Женева) также на интеллектуальную собственность в электронной и виртуальной форме. |,"Permission to use whole or parts of texts contained in IAEA publications in printed or electronic form must be obtained and is usually subject to royalty agreements. |Для полного или частичного использования текстов, содержащихся в печатных или электронных публикациях МАГАТЭ, должно быть получено разрешение, которое обычно оформляется соглашениями типа роялти. |"
Proposals for non-commercial reproductions and translations are welcomed and considered on a case-by-case basis. |Предложения о некоммерческом воспроизведении и переводе приветствуются и рассматриваются в каждом случае в отдельности. |,Enquiries should be addressed to the IAEA Publishing Section at:|Вопросы следует направлять в Издательскую секцию МАГАТЭ по адресу:|
"Marketing and Sales Unit, Publishing Section|Группа маркетинга и сбыта, Издательская секция|",International Atomic Energy Agency|Международное агентство по атомной энергии|
"Vienna International Centre|Венский международный центр,|","PO Box 100|а/я 100,|"
"1400 Vienna, Austria|1400 Вена, Австрия|",fax: +43 1 2600 29302|Факс: +43 1 26007 22529|
tel.: +43 1 2600 22417|Тел.: +43 1 2600 22417|,email: sales.publications@iaea.org|Эл. почта: sales.publications@iaea.org|
http://www.iaea.org/books|https://www.iaea.org/ru/publikacii|,"IAEA, 2014|МАГАТЭ, 2022 год"
Printed by the IAEA in Austria,|Отпечатано МАГАТЭ в Австрии
November 2022|Ноябрь 2022 года,STI/PUB/1657|STI/PUB/1657|
Management of disused sealed radioactive sources|ОБРАЩЕНИЕ С ИЗЪЯТЫМИ ИЗ УПОТРЕБЛЕНИЯ,ЗАКРЫТЫМИ РАДИОАКТИВНЫМИ ИСТОЧНИКАМИ|
FOREWORD|ПРЕДИСЛОВИЕ|,"One of the IAEA’s statutory objectives is to “seek to accelerate and enlarge the contribution of atomic energy to peace, health and prosperity throughout the world”. |Одной из уставных целей МАГАТЭ является достижение «более скорого и широкого использования атомной энергии для поддержания мира, здоровья и благосостояния во всем мире». |"
"One way this objective is achieved is through the publication of a range of technical series. |Для достижения этой цели, в частности, публикуются различные серии документов по техническим вопросам. |",Two of these are the IAEA Nuclear Energy Series and the IAEA Safety Standards Series.|Две из них — это Серия изданий МАГАТЭ по ядерной энергии и Серия норм безопасности МАГАТЭ.|
"According to Article III.A.6, of the IAEA’s Statute, the safety standards establish “standards of safety for protection of health and minimization of danger to life and property”. |Согласно статье III.A.6 Устава МАГАТЭ, издания Серии норм безопасности устанавливают «нормы безопасности для охраны здоровья и сведения к минимуму опасностей для жизни и имущества». |","The safety standards include the Safety Fundamentals, Safety Requirements and Safety Guides. |Публикуемые нормы безопасности включают Основы безопасности, Требования безопасности и Руководства по безопасности. |"
"These standards are written primarily in a regulatory style, and are binding on the IAEA for its own programmes. |Эти документы составлены в основном в нормативном стиле и являются обязательными для применения МАГАТЭ в его собственных программах. |",The principal users are the regulatory bodies in Member States and other national authorities.|Основными пользователями являются регулирующие органы в государствах-членах и другие национальные компетентные органы.|
"The IAEA Nuclear Energy Series comprises reports designed to encourage and assist R&D on, and application of, nuclear energy for peaceful uses. |Серия изданий МАГАТЭ по ядерной энергии состоит из докладов, имеющих целью способствовать и содействовать НИОКР в области ядерной энергии, а также ее мирному применению. |","This includes practical examples to be used by owners and operators of utilities in Member States, implementing organizations, academia, and government officials, among others. |Эти доклады включают практические примеры, которые могут использоваться, в частности, владельцами и операторами предприятий энергохозяйства в государствах-членах, организациями-исполнителями, научными работниками и государственными должностными лицами. |"
"This information is presented in guides, reports on technology status and advances, and best practices for peaceful uses of nuclear energy based on inputs from international experts. |Такая информация представлена в руководствах, докладах о состоянии дел и достижениях в области технологий, а также в примерах наилучшей практики использования ядерной энергии в мирных целях, подготовленных на основе представленных международными экспертами материалов. |",The IAEA Nuclear Energy Series complements the IAEA Safety Standards Series.|Серия изданий МАГАТЭ по ядерной энергии дополняет Серию норм безопасности МАГАТЭ.|
"Sealed radioactive sources have been used widely in industry, medicine and research in Member States for many decades. |На протяжении многих десятилетий в промышленности, медицине и научных исследованиях в государствах-членах широко используются закрытые радиоактивные источники. |","Although most Member States have laid down a regulatory framework to control sealed sources and have adequate technical abilities to handle them properly, there are still a number of uncertainties concerning the management of these sources during their life cycle. |Хотя в большинстве государств-членов сформирована нормативно-правовая база, позволяющая контролировать закрытые радиоактивные источники, и имеются соответствующие технические возможности для надлежащего обращения с ними, по-прежнему сохраняется ряд неясных моментов, касающихся обращения с этими источниками на протяжении их жизненного цикла. |"
"Management schemes and practices currently implemented in Member States may be somewhat conflicting and create problems for storage, particularly the disposal of disused sources. |Современные схемы и практика обращения с источниками в государствах-членах могут носить несколько противоречивый характер и создавать проблемы на этапе хранения, особенно в том, что касается захоронения изъятых из употребления источников. |","For instance, there is no consensus on the appropriate methods of conditioning of sources held in central interim storage. |Так, например, нет единодушия по поводу надлежащих методов кондиционирования источников, находящихся в центральном промежуточном хранилище. |"
"In most cases, the methods used are determined to a large extent by the available facilities, which may have been built to deal principally with other types of waste. |В большинстве случаев используемые методы во многом определяются имеющимися пунктами хранения, которые могли быть построены в расчете главным образом на другие типы отходов. |","The IAEA’s experience in working with Member States has revealed that the modest infrastructure and limited budgets in many Member States require simple solutions that are low cost and straightforward, without compromising safety or security.|Опыт работы МАГАТЭ с государствами-членами показывает, что характерные для многих государств-членов скромная инфраструктура и ограниченный бюджет диктуют необходимость простых решений, которые были бы недорогими и несложными в применении, но при этом не ставили бы под угрозу техническую или физическую безопасность.|"
"Recognizing the need to assist Member States in the safe and effective and management of disused sources, the IAEA developed an ‘Action Plan on the Safety of Radiation Sources and Security of Radioactive Material’, which focused on the development of a series of publications dealing with the handling, conditioning, storage and disposal of such sources. |Признавая, что государства-члены нуждаются в помощи в вопросах безопасного и эффективного обращения с изъятыми из употребления источниками, МАГАТЭ разработало «План действий по обеспечению безопасности источников излучения и сохранности радиоактивных материалов», который нацелен на подготовку серии публикаций, посвященных манипулированию с такими источниками, их кондиционированию, хранению и захоронению. |","Titles in this series, for example entitled ‘Technical Manuals for the Management of Low and Intermediate Level Wastes Generated at Small Nuclear Research Centres and by Radioisotope Users in Medicine, Research and Industry’, have been published since the 1990s with the objective of addressing the needs of developing Member States by suggesting technological solutions that can fulfil requirements, implement solutions and meet criteria set in IAEA publications, and can also be easily integrated into an overall national programme.|Публикации этой серии, например «Технические руководства по обращению с низко- и среднеактивными отходами, образующимися в небольших ядерных исследовательских центрах и при использовании радиоизотопов в медицине, исследованиях и промышленности», выпускаются с 1990-х годов с целью удовлетворения потребностей развивающихся государств-членов и содержат рекомендации технологического характера, которые помогают обеспечить соблюдение требований, реализовать соответствующие решения и учесть критерии, установленные в публикациях МАГАТЭ, а также могут быть легко интегрированы! в общую национальную программу.|"
"Although Member States have benefited from these publications issued over the last two decades, it was felt they needed to be revised and upgraded to take advantage of new developments and to ensure compliance with modern standards. |Хотя эти издававшиеся на протяжении последних двух десятилетий публикации оказались полезными для государств-членов, было сочтено, что они нуждаются в переработке и обновлении, чтобы отразить новые тенденции и обеспечить соответствие современным стандартам. |","Since previously published reports addressed specific areas of the management of disused sealed sources for different categories of sources, this publication could provide a good opportunity to merge the contents into one single report.|С учетом того, что ранее опубликованные доклады были посвящены конкретным аспектам обращения с изъятыми из употребления закрытыми источниками применительно к разным категориям источников, настоящая публикация могла бы рассматриваться как удачная возможность объединить их содержание в единый доклад.|"
"Until recently, the emphasis was primarily on the safety of radioactive sources, with source security as one aspect of safety. |До недавнего времени основное внимание уделялось соображениям безопасности радиоактивных источников, при этом соображения сохранности рассматривались как один из аспектов безопасности. |","However, given the potential for the use of radioactive sources in malevolent acts, source security has taken on a new urgency. |Однако ввиду возможности использования радиоактивных источников для совершения злоумышленных действий вопросы обеспечения сохранности таких источников приобретают все большую актуальность. |"
"The new approach of cradle to grave control of radioactive sources can provide protection against malevolent uses. |Обеспечить защиту от злоумышленного использования помогает новый подход, предусматривающий контроль над радиоактивными источниками в течение всего их жизненного цикла. |","This means consideration of security during the entire life cycle of radioactive sources, covering all phases, including manufacture, distribution, installation, commission, use, storage and disposal, is of paramount importance.|Это означает, что вопросам сохранности должно придаваться первостепенное значение на протяжении всего жизненного цикла радиоактивных источников, включая такие этапы, как изготовление, сбыт, установка, ввод в эксплуатацию, использование, хранение и захоронение.|"
"The present report summarizes the information contained in the earlier IAEA publications and provides up to date guidance on the management of disused sealed radioactive sources. |В настоящем докладе обобщается информация, которая была представлена в более ранних публикациях МАГАТЭ, и приводятся отвечающие современным требованиям руководящие указания по обращению с изъятыми из употребления закрытыми радиоактивными источниками. |","Problems encountered and lessons learned are included in this report to help avoid the mistakes made in the past in managing disused sources.|Чтобы помочь избежать ошибок, которые допускались в прошлом при обращении с изъятыми из употребления источниками, в доклад также включены сведения о возникших проблемах и извлеченных уроках.|"
The IAEA officers responsible for this publication were J. Balla and J.C. Benitez-Navarro of the Division of Nuclear Fuel Cycle and Waste Technology.|Ответственными за подготовку настоящей публикации сотрудниками МАГАТЭ являлись Я. Балла и Х.К. Бенитес-Наварро из Отдела ядерного топливного цикла и технологии обращения с отходами.|,EDITORIAL NOTE|РЕДАКЦИОННОЕ ПРИМЕЧАНИЕ|
"This report has been edited by the editorial staff of the IAEA to the extent considered necessary for the reader’s assistance. |Настоящий доклад был отредактирован редакционным персоналом МАГАТЭ в той степени, в какой это было сочтено необходимым для удобства читателей. |","It does not address questions of responsibility, legal or otherwise, for acts or omissions on the part of any person.|В нем не затрагиваются вопросы ответственности — юридической или иного рода — за действия или бездействие со стороны какого-либо лица.|"
"Although great care has been taken to maintain the accuracy of information contained in this publication, neither the IAEA nor its Member States assume any responsibility for consequences which may arise from its use.|Хотя для обеспечения точности информации, содержащейся в настоящей публикации, были приложены большие усилия, ни МАГАТЭ, ни его государства-члены не несут ответственности за последствия, которые могут возникнуть в результате ее использования.|","The use of particular designations of countries or territories does not imply any judgement by the publisher, the IAEA, as to the legal status of such countries or territories, of their authorities and institutions or of the delimitation of their boundaries.|Использование тех или иных названий стран или территорий не означает какого-либо суждения со стороны издателя — МАГАТЭ — относительно правового статуса таких стран или территорий, их органов и учреждений либо относительно определения их границ.|"
"The mention of names of specific companies or products (whether or not indicated as registered) does not imply any intention to infringe proprietary rights, nor should it be construed as an endorsement or recommendation on the part of the IAEA.|Упоминание названий конкретных компаний или продуктов (независимо от того, указаны ли они как зарегистрированные) не означает какого-либо намерения нарушить права собственности и не должно рассматриваться как одобрение или рекомендация со стороны МАГАТЭ.|","The IAEA has no responsibility for the persistence or accuracy of URLs for external or third party Internet web sites referred to in this book and does not guarantee that any content on such web sites is, or will remain, accurate or appropriate.|МАГАТЭ не несет ответственности за постоянство и точность приводимых в настоящей публикации адресов сайтов внешних или третьих сторон и не гарантирует того, что информационное наполнение таких сайтов является или останется точным и релевантным.|"
CONTENTS|СОДЕРЖАНИЕ|,INTRODUCTION 	 |ВВЕДЕНИЕ	 |
Background 	 |Общие сведения	 |,Objective 	 |Цель	 |
Scope 	 |Сфера охвата	 |,Structure 	 |Структура|
CHARACTERISTICS OF SEALED RADIOACTIVE SOURCES 	 |ХАРАКТЕРИСТИКИ ЗАКРЫТЫХ РАДИОАКТИВНЫХ ИСТОЧНИКОВ	 |,"Radiological, physical and chemical characteristics 	 |Радиологические, физические и химические характеристики	 |"
Physical forms 	 |Физическая форма	 |,Radiation type 	 |Вид излучения	 |
Physical and chemical characteristics of radionuclides 	 |Физические и химические характеристики радионуклидов	 |,Structure and design 	 |Конструктивное исполнение	 |
Gamma sources 	 |Источники гамма-излучения	 |,Alpha sources 	 |Источники альфа-излучения 	 |
Beta sources 	 |Источники бета-излучения	 |,Neutron sources 	 |Источники нейтронов	 |
Dimensions 	 |Размеры	 |,Physical condition 	 |Физическое состояние	 |
CATEGORIZATION AND CLASSIFICATION 	 |КАТЕГОРИЗАЦИЯ И КЛАССИФИКАЦИЯ	 |,Rationale for radioactive source categorization 	 |Обоснование принципов категоризации радиоактивных источников	 |
The IAEA source categorization system 	 |Система категоризации источников МАГАТЭ	 |,The IAEA security grouping of sources 	 |Принципы разделения источников по категориям безопасности МАГАТЭ		|
The ISO source classification 	 |Классификация источников по системе ИСО	 |,"APPLICATIONS, DEVICES AND ASSOCIATED SEALED SOURCES 	 |ПРИМЕНЕНИЯ, УСТРОЙСТВА И СВЯЗАННЫЕ С НИМИ ЗАКРЫТЫЕ ИСТОЧНИКИ	 |"
Devices and Category 1 sources 	 |Устройства и источники категории 1	 |,Radioisotope thermoelectric generators 	 |Радиоизотопные термоэлектрические генераторы	 |
Irradiators 	 |Облучатели	 |,Teletherapy machines 	 |Аппараты дистанционной лучевой терапии	 |
"Fixed, multibeam teletherapy (Gamma Knife®) machines 	 |Стационарные установки для многолучевой телетерапии (гамма-ножи).. . .	|",Devices and Category 2 sources 	 |Устройства и источники категории 2	 |
Industrial gamma radiography projectors 	 |Излучатели для промышленной гамма-радиографии	 |,High/medium dose rate brachytherapy machines 	 |Аппараты для брахитерапии с высокой/средней мощностью дозы		|
Calibration systems 	 |Калибровочные системы	 |,Devices and Category 3 sources 	 |Устройства и источники категории 3	 |
Fixed industrial gauges 	 |Стационарные промышленные измерительные приборы	 |,Well logging gauges 	 |Каротажное оборудование	 |
Pacemakers 	 |Кардиостимуляторы	 |,Devices and Category 4 sources 	 |Устройства и источники категории 4	 |
Low dose rate brachytherapy sources 	 |Источники для брахитерапии с низкой мощностью дозы	 |,Thickness/fill level gauges 	|Толщиномеры/уровнемеры	 |
Portable moisture/density gauges 	 |Портативные влагомеры/плотномеры	 |,Bone densitometers 	 |Костные денситометры	 |
Static electricity eliminators 	 |Нейтрализаторы статического электричества	|,Devices and Category 5 sources 	 |Устройства и источники категории 5	 |
Specific situations 	 |Особые случаи	 |,Lightning conductors 	 |Молниеотводы	 |
Research and academic uses	 |Использование в научно-исследовательских и учебных целях	 |,Military uses 	 |Использование в военных целях	 |
Mass and dimensions of typical devices|Масса и размеры типичных устройств	 |,MANAGEMENT PRINCIPLES AND REQUIREMENTS 	 |ПРИНЦИПЫ ОБРАЩЕНИЯ И ТРЕБОВАНИЯ К НЕМУ	 |
Regulatory control	 |Регулирующий контроль	 |,Responsibilities 	 |Ответственность	 |
Source manufacturer	 |Производитель источника	 |,Device/equipment manufacturer 	 |Производитель устройства/оборудования	 |
Distributor	 |Дистрибьютор	 |,User 	 |Пользователь	 |
Central radioactive waste management organization 	 |Центральная организация по обращению с радиоактивными отходами ....	|,Disposal facility 	 |Пункт захоронения	 |
Registry of sealed radioactive sources 	 |Реестр закрытых радиоактивных источников	 |,Declaring sources as disused 	 |Перевод источников в категорию изъятых из употребления	 |
Activity decay 	 |Спад активности	 |,Leakage or damage 	 |Разгерметизация или повреждение	 |
Obsolete equipment 	 |Устаревшее оборудование	 |,Alternative technology 	 |Альтернативные технологии	 |
Changes in priorities 	 |Смена приоритетов	 |,Orphan sources 	 |Бесхозные источники	 |
Financing 	 |Финансирование	 |,Distribution of costs 	 |Распределение затрат	 |
Cost uncertainty 	 |Неопределенность уровня затрат 	 |,Unavailability of an ownership transfer path 	 |Отсутствие схемы передачи права собственности	 |
Technical capability 	 |Технические возможности	 |,User’s site 	 |Объект пользователя	 |
CRWMO	 |ЦООРО|,Disposal facility 	 |Пункт захоронения	 |
Personnel training 	 |Подготовка кадров	 |,Management system 	 |Система управления	 |
Management system challenges 	 |Проблемы системы управления	 |,Management system procedures	 |Процедуры системы управления	 |
Graded approach	 |Дифференцированный подход	 |,Records management 	 |Ведение учета	 |
Developing and controlling processes 	 |Разработка и контроль процессов	 |,Emergency preparedness and response 	 |Аварийная готовность и реагирование	 |
Security of radioactive sources 	 |Сохранность радиоактивных источников	 |,Criticality control	 |Контроль критичности	 |
Radiation monitoring	 |Радиационный мониторинг	 |,Problems encountered and lessons learned 	 |Возникшие проблемы и извлеченные уроки	 |
Regulatory system peculiarities 	 |Особенности системы регулирования	 |,Quality of source registry 	 |Качество реестра источников	 |
Exemption	 |Освобождение от контроля	 |,Financing 	 |Финансирование	 |
Records management 	 |Ведение учета	 |,Management system assessment 	 |Оценка системы управления	 |
MANAGEMENT STRATEGY 	 |СТРАТЕГИЯ ОБРАЩЕНИЯ	 |,Prerequisites for strategy development 	 |Предварительные условия разработки стратегии	 |
Strategic management options 	 |Альтернативные стратегии обращения	 |,Transfer to another authorized user 	 |Передача другому уполномоченному пользователю	 |
Return to supplier/manufacturer 	 |Возврат производителю или поставщику	 |,Storage prior to disposal 	 |Хранение перед захоронением 	 |
Disposal 	 |Захоронение	 |,Facility type 	 |Типы объектов	 |
Shared facilities 	 |Объекты совместного пользования	 |,Centralized facilities 	 |Централизованные объекты	 |
Mobile facilities 	 |Мобильные установки	 |,Development of a management strategy 	 |Разработка стратегии обращения 	 |
Problems encountered and lessons learned 	 |Возникшие проблемы и извлеченные уроки	 |,General issues 	 |Общие замечания 	 |
Transfer to another authorized user 	 |Передача другому уполномоченному пользователю	 |,Return to supplier/manufacturer 	 |Возврат производителю или поставщику	 |
Storage prior to disposal 	 |Хранение перед захоронением	 |,Disposal 	 |Захоронение	 |
CHARACTERIZATION OF DISUSED SOURCES 	 |ХАРАКТЕРИЗАЦИЯ ИЗЪЯТЫХ ИЗ УПОТРЕБЛЕНИЯ ИСТОЧНИКОВ	 |,Required information 	 |Необходимая информация	 |
"Characterization groups of disused sources 	 |Группы, выделяемые при характеризации изъятых из употребления источников	 |",Source identification 	 |Идентификация источников	 |
Characterization of undocumented sources 	 |Характеризация недокументированных источников	 |,Characterization system requirements 	 |Требования к системе характеризации	 |
Retrieval of historical data 	 |Работа с ретроспективными данными	 |,Characterization by NDA methods 	 |Характеризация методами неразрушающего анализа	 |
Characterization by destructive methods 	 |Характеризация разрушающими методами	 |,Characterization of leaking sources|Характеризация негерметичных источников	 |
Lessons learned 	 |Извлеченные уроки	 |,SOURCE HANDLING 	 |ОБРАЩЕНИЕ С ИСТОЧНИКАМИ	 |
Handling safety requirements 	 |Требования безопасности при обращении	 |,Work planning 	 |Планирование работы	 |
Routine source handling 	 |Обычные операции по обращению с источниками	 |,Collection 	 |Сбор	 |
Segregation 	 |Разделение	 |,Removing sources from devices 	 |Извлечение источников из устройств	 |
Relocation within the site 	 |Перемещение в пределах объекта	 |,Equipment and tools for source handling 	 |Оборудование и инструменты для работы с источниками	 |
Tongs and temporary shielding 	 |Щипцы и временное экранирование	 |,Fume cupboard 	 |Вытяжной шкаф	 |
Hot cells 	 |Горячие камеры	 |,Containers 	 |Контейнеры	 |
Lifting and transfer equipment 	 |Подъемно-транспортное оборудование	 |,"Problems encountered with handling of high activity sources 	 |Проблемы, возникающие при обращении с высокоактивными источниками		|"
STORAGE 	 |ХРАНЕНИЕ	 |,Design requirements for DSRS packages 	 |Требования к конструкции упаковки ИЗРИ	 |
Design requirements for storage facilities 	 |Требования к проектированию пунктов хранения	 |,Operational requirements for storage facilities 	 |Требования к эксплуатации пунктов хранения	 |
Receipt and emplacement		 |Прием и размещение	 |,Additional shielding 	 |Дополнительное экранирование	 |
Integrity control 	 |Контроль целостности	 |,Retrieval and dispatch 	 |Извлечение и отгрузка	 |
Security systems 	 |Системы физической защиты 	 |,"Examples of on-site storage facilities 	 |Примеры хранилищ, устраиваемых на объекте	 |"
In-floor safes	 |Встроенные в пол сейфы	 |,Intrusion resistant rooms 	 |Защищенные от взлома помещения 	 |
